Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.200.117-17.111.103.20-62544-443-6,172.16.200.117,62544,17.111.103.20,443,6,23/12/2023 08:14:10 PM,4047774,22,15,4416.0,12853.0,1408.0,0.0,200.72727272727278,419.5354780182688,1448.0,0.0,856.8666666666668,692.8806191408102,4266.29549969934,9.140826538240523,112438.16666666666,182904.89253543768,525766.0,1.0,4047774.0,192751.1428571429,245566.58292065834,833053.0,1.0,3925340.0,280381.4285714285,352577.0692102354,1211724.0,336.0,0,0,0,0,740,488,5.435086049764635,3.7057404884758878,0.0,1448.0,454.4473684210526,625.3484951595334,391060.74039829295,0,2,0,10,36,0,0,0,0.0,466.72972972972974,200.72727272727272,856.8666666666667,0,0,0,17269,19,4399,0,0,0,0,65535,67,8,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.200.117-172.17.100.1-59424-53-17,172.16.200.117,59424,172.17.100.1,53,17,23/12/2023 08:14:10 PM,170440,1,1,36.0,52.0,36.0,36.0,36.0,0.0,52.0,52.0,52.0,0.0,516.3107251818822,11.734334663224594,170440.0,0.0,170440.0,170440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.867167331612297,5.867167331612297,36.0,52.0,41.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,62.0,36.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
17.253.24.201-172.16.200.117-443-62512-6,17.253.24.201,443,172.16.200.117,62512,6,23/12/2023 08:14:10 PM,7548929,2203,1683,3181132.0,0.0,1444.0,1444.0,1444.0,0.0,0.0,0.0,0.0,0.0,421401.76440922945,514.7750098060268,1943.0962676962708,17868.78833525176,713966.0,0.0,7548832.0,3428.170753860127,23957.567555089016,714122.0,8.0,7548435.0,4487.773483947688,27071.67142395012,714059.0,0.0,0,0,0,0,70496,67224,291.8294767376935,222.94553306833328,0.0,1444.0,818.7743761255493,715.5770078946412,512050.4542274474,0,0,0,1000,3886,0,0,0,0.0,818.9850746268656,1444.0,0.0,0,0,0,3181132,2203,421407,0,0,0,0,251,3288,2202,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.200.117-172.17.100.1-56689-53-17,172.16.200.117,56689,172.17.100.1,53,17,23/12/2023 08:14:10 PM,168161,1,1,36.0,96.0,36.0,36.0,36.0,0.0,96.0,96.0,96.0,0.0,784.9620304351187,11.893364097501799,168161.0,0.0,168161.0,168161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.946682048750899,5.946682048750899,36.0,96.0,56.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,1.0,84.0,36.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
